epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.8717,3.58838,5.1405,0.01728,0.00529,0.00189,0.00306,0.00116,3.51333,4.64201,0.02098,8.43636e-05,8.43636e-05,8.43636e-05
2,38.3437,2.74886,4.94349,0.01163,0.73376,0.02528,0.0182,0.00879,2.41215,4.26295,0.0127,0.000164097,0.000164097,0.000164097
3,48.4295,2.40337,4.29757,0.00969,0.32961,0.09108,0.05834,0.03107,2.28966,3.53229,0.01111,0.000238198,0.000238198,0.000238198
4,59.0106,2.28309,3.54677,0.00865,0.22014,0.15248,0.11766,0.06903,2.17302,2.8078,0.00995,0.000230656,0.000230656,0.000230656
5,69.2201,2.19773,3.08741,0.00795,0.32961,0.21233,0.17756,0.10889,2.07318,2.44383,0.00906,0.000222208,0.000222208,0.000222208
6,79.1632,2.13899,2.82202,0.00747,0.3697,0.25164,0.22271,0.14117,2.03325,2.22589,0.0087,0.00021376,0.00021376,0.00021376
7,88.9937,2.08209,2.65909,0.00722,0.39213,0.27761,0.25097,0.16445,1.96436,2.08941,0.00825,0.000205312,0.000205312,0.000205312
8,98.971,2.04629,2.50308,0.00688,0.4085,0.298,0.27497,0.18366,1.90923,1.97642,0.00793,0.000196864,0.000196864,0.000196864
9,109.441,1.99798,2.40896,0.00679,0.40787,0.31292,0.2913,0.19365,1.9088,1.90823,0.00789,0.000188416,0.000188416,0.000188416
10,120.18,1.98777,2.32863,0.00656,0.42622,0.32844,0.31297,0.21178,1.85412,1.83518,0.00763,0.000179968,0.000179968,0.000179968
11,130.535,1.9453,2.22862,0.00644,0.43995,0.34868,0.32847,0.22275,1.83753,1.79045,0.00747,0.00017152,0.00017152,0.00017152
12,141.045,1.93664,2.18776,0.0063,0.41585,0.35816,0.34152,0.23276,1.83315,1.75123,0.00747,0.000163072,0.000163072,0.000163072
13,151.203,1.92694,2.13156,0.00628,0.43097,0.3635,0.35681,0.24363,1.81771,1.70786,0.00736,0.000154624,0.000154624,0.000154624
14,161.415,1.90936,2.0994,0.00639,0.45534,0.36292,0.36855,0.25223,1.80342,1.67621,0.00727,0.000146176,0.000146176,0.000146176
15,171.781,1.8872,2.04732,0.00616,0.46769,0.36447,0.37978,0.26116,1.78884,1.64798,0.00719,0.000137728,0.000137728,0.000137728
16,182.294,1.88014,2.03166,0.0061,0.46687,0.37271,0.38715,0.26687,1.78489,1.61988,0.00717,0.00012928,0.00012928,0.00012928
17,192.71,1.8685,1.99864,0.00608,0.47766,0.37801,0.39794,0.27397,1.78101,1.60215,0.00715,0.000120832,0.000120832,0.000120832
18,203.22,1.86407,1.97336,0.00601,0.48324,0.3868,0.40523,0.28094,1.7763,1.58147,0.00705,0.000112384,0.000112384,0.000112384
19,213.818,1.86576,1.9579,0.00608,0.48733,0.38379,0.41107,0.28603,1.76288,1.56638,0.00699,0.000103936,0.000103936,0.000103936
20,224.213,1.8728,1.93051,0.00592,0.49024,0.38856,0.41537,0.28502,1.78867,1.55711,0.00709,9.5488e-05,9.5488e-05,9.5488e-05
21,234.534,1.82919,2.01174,0.00636,0.46666,0.37744,0.4007,0.27382,1.77834,1.61763,0.00724,8.704e-05,8.704e-05,8.704e-05
22,243.335,1.80405,1.93919,0.00617,0.45488,0.39697,0.4085,0.2804,1.77407,1.5853,0.00709,7.8592e-05,7.8592e-05,7.8592e-05
23,252.4,1.79114,1.90182,0.00613,0.46226,0.39441,0.41444,0.286,1.76549,1.56357,0.00703,7.0144e-05,7.0144e-05,7.0144e-05
24,261.618,1.77808,1.88669,0.00613,0.4709,0.39736,0.41813,0.28928,1.76134,1.5488,0.00702,6.1696e-05,6.1696e-05,6.1696e-05
25,270.555,1.77415,1.87544,0.00607,0.46684,0.40407,0.42174,0.29148,1.75789,1.54191,0.00697,5.3248e-05,5.3248e-05,5.3248e-05
26,279.596,1.77103,1.84303,0.00601,0.47121,0.40355,0.42302,0.29221,1.76375,1.53595,0.00698,4.48e-05,4.48e-05,4.48e-05
27,288.426,1.76827,1.83878,0.00602,0.47537,0.40518,0.42591,0.29458,1.75321,1.5292,0.00695,3.6352e-05,3.6352e-05,3.6352e-05
28,297.371,1.7695,1.8292,0.00599,0.47854,0.40479,0.42746,0.29576,1.75563,1.52545,0.00695,2.7904e-05,2.7904e-05,2.7904e-05
29,306.3,1.76681,1.82888,0.00601,0.47807,0.40502,0.42752,0.29525,1.75873,1.52715,0.00696,1.9456e-05,1.9456e-05,1.9456e-05
30,315.655,1.76233,1.82606,0.00596,0.47492,0.40555,0.42815,0.29644,1.75324,1.52401,0.00695,1.1008e-05,1.1008e-05,1.1008e-05
