epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.3604,1.62437,3.35198,0.00501,0.42079,0.19598,0.21745,0.15843,1.45023,2.56212,0.00552,0.000331429,0.000331429,0.0671886
2,77.1381,1.51337,2.17765,0.00429,0.44616,0.37442,0.366,0.27111,1.36788,1.69888,0.00492,0.0006646,0.0006646,0.0341884
3,104.805,1.46588,1.82693,0.00415,0.479,0.46799,0.4678,0.34328,1.33014,1.46454,0.00469,0.00099712,0.00099712,0.0011876
4,133.001,1.44789,1.65379,0.00397,0.59363,0.51527,0.53019,0.3901,1.30831,1.37031,0.00465,0.000997803,0.000997803,0.000997803
5,160.99,1.40744,1.51529,0.00393,0.61964,0.5441,0.55714,0.41251,1.32537,1.24223,0.00457,0.000996097,0.000996097,0.000996097
6,189.161,1.39162,1.44002,0.00386,0.67716,0.55134,0.58136,0.43084,1.27165,1.18385,0.00444,0.000993906,0.000993906,0.000993906
7,217.108,1.3852,1.36744,0.00384,0.72046,0.56906,0.59644,0.44367,1.25869,1.14748,0.00435,0.000991232,0.000991232,0.000991232
8,244.946,1.38097,1.3261,0.00381,0.70689,0.59092,0.60297,0.44811,1.27408,1.11333,0.00441,0.000988079,0.000988079,0.000988079
9,272.855,1.35776,1.27816,0.00371,0.7016,0.59288,0.61617,0.45632,1.25507,1.08905,0.00432,0.000984449,0.000984449,0.000984449
10,301.111,1.35998,1.24352,0.00365,0.77651,0.58858,0.62191,0.46259,1.24766,1.07784,0.00426,0.000980345,0.000980345,0.000980345
11,329.47,1.33205,1.17959,0.00355,0.75495,0.59164,0.62658,0.46698,1.23668,1.05205,0.00423,0.000975773,0.000975773,0.000975773
12,357.31,1.34157,1.1902,0.00366,0.77051,0.60593,0.63728,0.47245,1.24898,1.03086,0.00425,0.000970736,0.000970736,0.000970736
13,384.946,1.33886,1.15643,0.00361,0.72987,0.62359,0.64144,0.48071,1.22643,0.99878,0.00417,0.000965239,0.000965239,0.000965239
14,412.683,1.3346,1.12225,0.00354,0.71718,0.629,0.64666,0.48434,1.23929,0.97955,0.00417,0.000959289,0.000959289,0.000959289
15,440.588,1.30502,1.09034,0.00347,0.81006,0.63019,0.65704,0.48488,1.23722,0.97882,0.00424,0.000952889,0.000952889,0.000952889
16,468.488,1.32479,1.09172,0.00359,0.76492,0.63528,0.66172,0.49237,1.23149,0.95377,0.00421,0.000946048,0.000946048,0.000946048
17,496.023,1.29969,1.06834,0.0035,0.75077,0.6302,0.65652,0.49078,1.22639,0.95581,0.00415,0.000938772,0.000938772,0.000938772
18,523.897,1.30596,1.04709,0.00345,0.79807,0.64234,0.66507,0.49826,1.22614,0.94322,0.00417,0.000931067,0.000931067,0.000931067
19,551.293,1.31522,1.03591,0.00349,0.7829,0.64448,0.66988,0.49734,1.22429,0.91601,0.00411,0.000922942,0.000922942,0.000922942
20,579.406,1.29691,1.02501,0.00348,0.834,0.63915,0.675,0.50066,1.2298,0.9116,0.00413,0.000914405,0.000914405,0.000914405
21,608.817,1.27558,0.98949,0.00342,0.76217,0.6582,0.67827,0.50464,1.22584,0.8996,0.00409,0.000905463,0.000905463,0.000905463
22,638.089,1.28712,1.00437,0.00339,0.80474,0.63227,0.67469,0.49999,1.22544,0.90878,0.00413,0.000896127,0.000896127,0.000896127
23,665.986,1.31224,1.02575,0.00349,0.78386,0.64345,0.68076,0.50441,1.24629,0.89815,0.00424,0.000886404,0.000886404,0.000886404
24,693.669,1.27555,0.97064,0.00331,0.79691,0.65854,0.68295,0.51268,1.2205,0.89368,0.00406,0.000876305,0.000876305,0.000876305
25,721.389,1.28154,0.97231,0.00332,0.7976,0.64838,0.68495,0.51406,1.22512,0.88112,0.00411,0.000865839,0.000865839,0.000865839
26,749.432,1.27104,0.9595,0.00332,0.83665,0.64676,0.6876,0.51654,1.21161,0.86842,0.00406,0.000855018,0.000855018,0.000855018
27,777.45,1.26584,0.94596,0.00334,0.84233,0.65349,0.69352,0.51947,1.22532,0.87547,0.0041,0.000843851,0.000843851,0.000843851
28,805.855,1.28525,0.97121,0.00335,0.83219,0.65484,0.69726,0.51975,1.21929,0.85514,0.00407,0.000832349,0.000832349,0.000832349
29,834.158,1.27786,0.94357,0.00334,0.79329,0.6664,0.70795,0.52958,1.20217,0.84511,0.00401,0.000820525,0.000820525,0.000820525
30,862.245,1.26151,0.93312,0.00331,0.78908,0.66643,0.70308,0.52582,1.22163,0.84955,0.00405,0.000808389,0.000808389,0.000808389
